c_000000000001	NZ_CP046703.1 Nostoc sp. ATCC 53789 chromosome, complete genome
c_000000000002	NZ_CP046704.1 Nostoc sp. ATCC 53789 plasmid pNsp_a, complete sequence
c_000000000003	NZ_CP046705.1 Nostoc sp. ATCC 53789 plasmid pNsp_b, complete sequence
c_000000000004	NZ_CP046706.1 Nostoc sp. ATCC 53789 plasmid pNsp_c, complete sequence
c_000000000005	NZ_CP046707.1 Nostoc sp. ATCC 53789 plasmid pNsp_d, complete sequence
c_000000000006	NZ_CP046708.1 Nostoc sp. ATCC 53789 plasmid pNsp_e, complete sequence
c_000000000007	NZ_CP046709.1 Nostoc sp. ATCC 53789 plasmid pNsp_f, complete sequence
c_000000000008	NZ_CP046710.1 Nostoc sp. ATCC 53789 plasmid pNsp_g, complete sequence
c_000000000009	NZ_CP046711.1 Nostoc sp. ATCC 53789 plasmid pNsp_h, complete sequence
c_000000000010	NZ_CP046712.1 Nostoc sp. ATCC 53789 plasmid pNsp_i, complete sequence
c_000000000011	NZ_CP046713.1 Nostoc sp. ATCC 53789 plasmid pNsp_j, complete sequence
c_000000000012	NZ_CP046714.1 Nostoc sp. ATCC 53789 plasmid pNsp_k, complete sequence
c_000000000013	NZ_CP046715.1 Nostoc sp. ATCC 53789 plasmid pNsp_l, complete sequence
