c_000000000001	NZ_CP040281.1 Nostoc sp. C057 chromosome, complete genome
c_000000000002	NZ_CP040282.1 Nostoc sp. C057 plasmid p057_A, complete sequence
c_000000000003	NZ_CP040283.1 Nostoc sp. C057 plasmid p057_B, complete sequence
c_000000000004	NZ_CP040284.1 Nostoc sp. C057 plasmid p057_C, complete sequence
c_000000000005	NZ_CP040285.1 Nostoc sp. C057 plasmid p057_D, complete sequence
c_000000000006	NZ_CP040286.1 Nostoc sp. C057 plasmid p057_E, complete sequence
c_000000000007	NZ_CP040287.1 Nostoc sp. C057 plasmid p057_F, complete sequence
c_000000000008	NZ_CP040288.1 Nostoc sp. C057 plasmid p057_G
c_000000000009	NZ_CP040289.1 Nostoc sp. C057 plasmid p057_H
c_000000000010	NZ_CP040290.1 Nostoc sp. C057 plasmid p057_I
c_000000000011	NZ_CP040291.1 Nostoc sp. C057 plasmid p057_J
c_000000000012	NZ_CP040292.1 Nostoc sp. C057 plasmid p057_K
c_000000000013	NZ_CP040293.1 Nostoc sp. C057 plasmid p057_L
c_000000000014	NZ_CP040294.1 Nostoc sp. C057 plasmid p057_M
c_000000000015	NZ_CP040295.1 Nostoc sp. C057 plasmid p057_N
c_000000000016	NZ_CP040296.1 Nostoc sp. C057 plasmid p057_O
